_id,source,category,collected_at,data.country,data.year,data.value,data.indicator
6989f44a9c9acb53fdd8cafc,who,health,2026-02-09 14:50:50.611,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
6989f44a9c9acb53fdd8cafd,who,health,2026-02-09 14:50:50.611,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
6989f592e1e7144549c0bae4,who,health,2026-02-09 14:56:18.890,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
6989f592e1e7144549c0bae5,who,health,2026-02-09 14:56:18.891,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
6989f592e1e7144549c0bae6,who,health,2026-02-09 14:56:18.891,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
6989f592e1e7144549c0bae7,who,health,2026-02-09 14:56:18.891,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
6989f592e1e7144549c0bae8,who,health,2026-02-09 14:56:18.891,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
6989fb78965a6a7ada1023bb,who,health,2026-02-09 15:21:28.303,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
6989fb78965a6a7ada1023bc,who,health,2026-02-09 15:21:28.303,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
6989fb78965a6a7ada1023bd,who,health,2026-02-09 15:21:28.304,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
6989fb78965a6a7ada1023be,who,health,2026-02-09 15:21:28.304,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
6989fb78965a6a7ada1023bf,who,health,2026-02-09 15:21:28.305,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
6989fd3ab5061cd9d261e1b1,who,health,2026-02-09 15:28:58.084,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
6989fd3ab5061cd9d261e1b2,who,health,2026-02-09 15:28:58.084,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
6989fd3ab5061cd9d261e1b3,who,health,2026-02-09 15:28:58.085,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
6989fd3ab5061cd9d261e1b4,who,health,2026-02-09 15:28:58.085,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
6989fd3ab5061cd9d261e1b5,who,health,2026-02-09 15:28:58.086,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
6989fe30ed1b4e22efab78c7,who,health,2026-02-09 15:33:04.884,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
6989fe30ed1b4e22efab78c8,who,health,2026-02-09 15:33:04.885,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
6989fe30ed1b4e22efab78c9,who,health,2026-02-09 15:33:04.886,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
6989fe30ed1b4e22efab78ca,who,health,2026-02-09 15:33:04.886,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
6989fe30ed1b4e22efab78cb,who,health,2026-02-09 15:33:04.887,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
6989ff64c46ca4ffb9ee48b7,who,health,2026-02-09 15:38:12.386,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
6989ff64c46ca4ffb9ee48b8,who,health,2026-02-09 15:38:12.386,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
6989ff64c46ca4ffb9ee48b9,who,health,2026-02-09 15:38:12.387,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
6989ff64c46ca4ffb9ee48ba,who,health,2026-02-09 15:38:12.387,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
6989ff64c46ca4ffb9ee48bb,who,health,2026-02-09 15:38:12.387,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
698a017a455f9f73a87de3d4,who,health,2026-02-09 15:47:06.818,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
698a017a455f9f73a87de3d5,who,health,2026-02-09 15:47:06.819,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
698a017a455f9f73a87de3d6,who,health,2026-02-09 15:47:06.819,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
698a017a455f9f73a87de3d7,who,health,2026-02-09 15:47:06.819,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
698a017a455f9f73a87de3d8,who,health,2026-02-09 15:47:06.820,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
698a02ff8cedd0b2d1b744ff,who,health,2026-02-09 15:53:35.665,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
698a02ff8cedd0b2d1b74500,who,health,2026-02-09 15:53:35.666,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
698a02ff8cedd0b2d1b74501,who,health,2026-02-09 15:53:35.667,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
698a02ff8cedd0b2d1b74502,who,health,2026-02-09 15:53:35.667,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
698a02ff8cedd0b2d1b74503,who,health,2026-02-09 15:53:35.667,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
698a09fb965a6a7ada1024d2,who,health,2026-02-09 16:23:23.373,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
698a09fb965a6a7ada1024d3,who,health,2026-02-09 16:23:23.374,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
698a09fb965a6a7ada1024d4,who,health,2026-02-09 16:23:23.375,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
698a09fb965a6a7ada1024d5,who,health,2026-02-09 16:23:23.375,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
698a09fb965a6a7ada1024d6,who,health,2026-02-09 16:23:23.375,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
698a12db417c1568de185994,who,health,2026-02-09 17:01:15.884,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
698a12db417c1568de185995,who,health,2026-02-09 17:01:15.884,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
698a12db417c1568de185996,who,health,2026-02-09 17:01:15.885,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
